,
,
"NO","English"
1," Products"
2," Ingredients"
3," YUTAKA"
4,"Beauty Longevity System"
5,"Special Care"
6,"Base Makeup"
7,"Efficacy Results / The effect of Beauty Longevity System"
8,"Strongly resilient skin as if its powers increased, radiant with smoothness, achieved from regenerative powers that surge from deep within"
9,"45 years old, Caucasian"
10,"0week"
11,"4week"
12,"Redness is suppressed and less visible pores. Skin becomes smoother and an even radiance spreads to over a wider area of the face."
13,"54 years old, Caucasian"
14,"0week"
15,"4week"
16,"Less visible wrinkles in the forehead and decreased roughness.
Skin becomes brighter and more plumped, resilient and radiant, for a softer, more youthful look overall."
17,"A complete sensory experience"
18,"The exceptionality of precious Japanese flora, uniting and balancing — 
an aura of richness and decadence that delicately envelopes all that it impacts.
"
19,"Cherry Blossom
Sakura"
20,"Plum Blossom
Ume"
21,"Japanese Rose
Hamanasu"
22,"SkingenecellEnmei"
23,"Angelica Leaf
Touki Leaf"
24,"Cherry Blossom Leaf
Sakura Leaf"
25,"Uji Green Tea
Ujicya"
26,"SkingenecellEnmei"
27,"Enmei herb is a legendary Japanese botanical that in ancient times, was known to have substantial healing properties. Shiseido researchers picked the Enmei herb from the foot of Mt. Koya, and watched over their re-growth on the company property.
 An extract of the cultivated plants has been paired with Skingenecell 1P and Vitamin C Ethyl ll to create a more advanced and highly effective ingredient, SkingenecellEnmei. 
SkingenecellEnmei brings out the ultimate vitalizing potential of the skin through a regenerative process. The formula helps the skin become impervious to damage, and superior in strength.
・Promotes the expression of the longevity gene sirtuin 1 to vitalize skin cells.
・Inhibits the negative factor Serpin b3 to promote the natural loss of the nuclei and to fundamentally improve skin quality. 
・Suppresses factors that attack Langerhans cells to comprehensively strengthen the skin’s natural power.　
"
28,"Story"
29,"3 effects"
30,"Three effects that bring out 
excellent skin cell regeneration effect"
31,"Three effects that bring out 
excellent skin cell regeneration effect"
32,1
33,"Lorem Ipsum is simply dummy text of 
the printing and typesetting industry. "
34,"Lorem Ipsum is simply dummy text"
35,"Higher"
36,"Effect of suppressing cell damage caused by UV rays"
37,"Without 
SkingenecellEnmei"
38,"With 
SkingenecellEnmei"
39,"(in vitro)"
40,"Three effects that bring out 
excellent skin cell regeneration effect"
41,2
42,"Lorem Ipsum is simply dummy text of 
the printing and typesetting industry. "
43,"Serpinb3"
44,"Higher"
45,"Lorem Ipsum is simply dummy text of 
the printing and typesetting industry."
46,"Without 
SkingenecellEnmei"
47,"With 
SkingenecellEnmei"
48,"(in vitro)"
49,"Three effects that bring out 
excellent skin cell regeneration effect"
50,3
51,"Lorem Ipsum is simply dummy text of 
the printing and typesetting industry. "
52,"Defend"
53,"Higher"
54,"Lorem Ipsum is simply dummy text of 
the printing and typesetting industry."
55,"Without 
SkingenecellEnmei"
56,"With 
SkingenecellEnmei"
57,"(in vitro)"
58,"Antioxidant effect"
59,"Higher"
60,"Antioxidant effect"
61,"Without Premium
Uji Green Tea
Extract"
62,"With Premium Uji 
Green Tea Extract"
63,"(in vitro)"
64,"Effect of suppressing cell damage caused by UV rays"
65,"Higher"
66,"Effect of suppressing cell damage caused by UV rays"
67,"Without Premium
Uji Green Tea
Extract"
68,"With Premium Uji 
Green Tea Extract"
